task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,prompt,prompt_chars,gen_tokens_target,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,prompt_tokens,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_cuda_event_ms,gen_tokens,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gpu_peak_mb,hf_load_ms
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,15,45,False,,2,prefill,ok,,1766544604.4742837,1,13.609800000040195,13.528063774108887,548.0210999999144,547.9608154296875,0,,,,,13.609800000040195,13.528063774108887,1,73.47646548788715,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,15,46,False,,2,kv_decode,ok,,1766544604.4742837,1,13.609800000040195,13.528063774108887,548.0210999999144,547.9608154296875,64,,,,,548.0210999999144,547.9608154296875,64,116.78382456443738,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,Hello,5,64,15,47,False,,2,e2e_kv,ok,,1766544604.4742837,1,13.609800000040195,13.528063774108887,548.0210999999144,547.9608154296875,64,,,,,561.6308999999546,561.4888792037964,65,115.73437287728515,208.4775390625,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,16,48,True,0,,prefill,ok,,1766544605.0370438,30,8525.4753,,324.9607,,0,37821.810299999925,37801.0684,28920.922,stop,8525.4753,,30,3.518865393932934,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,16,49,True,0,,kv_decode,ok,,1766544605.0370438,30,8525.4753,,324.9607,,29,37821.810299999925,37801.0684,28920.922,stop,324.9607,,29,89.24156059486579,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,16,50,True,0,,e2e_kv,ok,,1766544605.0370438,30,8525.4753,,324.9607,,29,37821.810299999925,37801.0684,28920.922,stop,8850.436,,59,6.666338245935003,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,17,51,False,,0,prefill,ok,,1766544642.8589704,30,11.8675,,323.675,,0,517.2914999998284,492.9599,127.1704,stop,11.8675,,30,2527.9123657046557,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,17,52,False,,0,kv_decode,ok,,1766544642.8589704,30,11.8675,,323.675,,29,517.2914999998284,492.9599,127.1704,stop,323.675,,29,89.59604541592647,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,17,53,False,,0,e2e_kv,ok,,1766544642.8589704,30,11.8675,,323.675,,29,517.2914999998284,492.9599,127.1704,stop,335.5425,,59,175.83465581856245,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,18,54,False,,1,prefill,ok,,1766544643.3770063,30,12.1655,,323.1912,,0,510.4764999998679,494.9129,129.7232,stop,12.1655,,30,2465.9898894414537,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,18,55,False,,1,kv_decode,ok,,1766544643.3770063,30,12.1655,,323.1912,,29,510.4764999998679,494.9129,129.7232,stop,323.1912,,29,89.73016592035923,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,18,56,False,,1,e2e_kv,ok,,1766544643.3770063,30,12.1655,,323.1912,,29,510.4764999998679,494.9129,129.7232,stop,335.3567,,59,175.9320747132829,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,19,57,False,,2,prefill,ok,,1766544643.8875997,30,11.7573,,322.7352,,0,503.8331000000653,488.5082,122.4961,stop,11.7573,,30,2551.606236125641,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,19,58,False,,2,kv_decode,ok,,1766544643.8875997,30,11.7573,,322.7352,,29,503.8331000000653,488.5082,122.4961,stop,322.7352,,29,89.8569477391992,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7000.0,Hello,5,64,19,59,False,,2,e2e_kv,ok,,1766544643.8875997,30,11.7573,,322.7352,,29,503.8331000000653,488.5082,122.4961,stop,334.4925,,59,176.38661554444417,,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,20,60,True,0,,prefill,ok,,1766544644.391575,9,27.48810000002777,27.35638427734375,1052.725799999962,1052.6617431640625,0,,,,,27.48810000002777,27.35638427734375,9,327.4144084164023,229.62109375,313.03249999996297
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,20,61,True,0,,kv_decode,ok,,1766544644.391575,9,27.48810000002777,27.35638427734375,1052.725799999962,1052.6617431640625,64,,,,,1052.725799999962,1052.6617431640625,64,60.79455827909064,229.62109375,313.03249999996297
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,20,62,True,0,,e2e_kv,ok,,1766544644.391575,9,27.48810000002777,27.35638427734375,1052.725799999962,1052.6617431640625,64,,,,,1080.2138999999897,1080.0181274414062,73,67.57920815497809,229.62109375,313.03249999996297
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,21,63,False,,0,prefill,ok,,1766544645.7857308,9,17.333900000039648,17.24518394470215,1086.766099999977,1086.7064208984375,0,,,,,17.333900000039648,17.24518394470215,9,519.2137949324396,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,21,64,False,,0,kv_decode,ok,,1766544645.7857308,9,17.333900000039648,17.24518394470215,1086.766099999977,1086.7064208984375,64,,,,,1086.766099999977,1086.7064208984375,64,58.89031687683426,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,21,65,False,,0,e2e_kv,ok,,1766544645.7857308,9,17.333900000039648,17.24518394470215,1086.766099999977,1086.7064208984375,64,,,,,1104.1000000000167,1103.9516048431396,73,66.11719952902716,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,22,66,False,,1,prefill,ok,,1766544646.8908806,9,16.53460000011364,16.43008041381836,947.8335000001152,947.7867431640625,0,,,,,16.53460000011364,16.43008041381836,9,544.3131372962239,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,22,67,False,,1,kv_decode,ok,,1766544646.8908806,9,16.53460000011364,16.43008041381836,947.8335000001152,947.7867431640625,64,,,,,947.8335000001152,947.7867431640625,64,67.52240768024365,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,22,68,False,,1,e2e_kv,ok,,1766544646.8908806,9,16.53460000011364,16.43008041381836,947.8335000001152,947.7867431640625,64,,,,,964.3681000002289,964.2168235778809,73,75.69723635609958,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,23,69,False,,2,prefill,ok,,1766544647.8560095,9,7.589399999915258,7.503871917724609,445.7655999999588,445.6908874511719,0,,,,,7.589399999915258,7.503871917724609,9,1185.8644952302543,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,23,70,False,,2,kv_decode,ok,,1766544647.8560095,9,7.589399999915258,7.503871917724609,445.7655999999588,445.6908874511719,64,,,,,445.7655999999588,445.6908874511719,64,143.57321426329423,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,Summarize RLHF in one sentence.,31,64,23,71,False,,2,e2e_kv,ok,,1766544647.8560095,9,7.589399999915258,7.503871917724609,445.7655999999588,445.6908874511719,64,,,,,453.35499999987405,453.1947593688965,73,161.0217158739184,229.62109375,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,24,72,True,0,,prefill,ok,,1766544648.310111,25,28.2545,,391.417,,0,9197.419399999944,9111.8688,8607.1895,length,28.2545,,25,884.814808260631,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,24,73,True,0,,kv_decode,ok,,1766544648.310111,25,28.2545,,391.417,,64,9197.419399999944,9111.8688,8607.1895,length,391.417,,64,163.5084832799802,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,24,74,True,0,,e2e_kv,ok,,1766544648.310111,25,28.2545,,391.417,,64,9197.419399999944,9111.8688,8607.1895,length,419.6715,,89,212.07063143434806,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,25,75,False,,0,prefill,ok,,1766544657.5076735,25,2.9065,,135.2617,,0,412.2884000000795,376.6281,193.4732,length,2.9065,,25,8601.41063134354,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,25,76,False,,0,kv_decode,ok,,1766544657.5076735,25,2.9065,,135.2617,,64,412.2884000000795,376.6281,193.4732,length,135.2617,,64,473.1568507567183,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,25,77,False,,0,e2e_kv,ok,,1766544657.5076735,25,2.9065,,135.2617,,64,412.2884000000795,376.6281,193.4732,length,138.16819999999998,,89,644.1424292999402,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,26,78,False,,1,prefill,ok,,1766544657.9203334,25,2.8119,,129.9747,,0,378.2664999998815,342.8233,153.2375,length,2.8119,,25,8890.785589814715,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,26,79,False,,1,kv_decode,ok,,1766544657.9203334,25,2.8119,,129.9747,,64,378.2664999998815,342.8233,153.2375,length,129.9747,,64,492.403521608436,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,26,80,False,,1,e2e_kv,ok,,1766544657.9203334,25,2.8119,,129.9747,,64,378.2664999998815,342.8233,153.2375,length,132.78660000000002,,89,670.2483533730059,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,27,81,False,,2,prefill,ok,,1766544658.2987456,25,2.3721,,134.1072,,0,348.8909000000149,334.7766,158.9647,length,2.3721,,25,10539.184688672483,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,27,82,False,,2,kv_decode,ok,,1766544658.2987456,25,2.3721,,134.1072,,64,348.8909000000149,334.7766,158.9647,length,134.1072,,64,477.23015617356856,,
6,medium,ollama,ollama,gemma3:270m,ollama,270.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,27,83,False,,2,e2e_kv,ok,,1766544658.2987456,25,2.3721,,134.1072,,64,348.8909000000149,334.7766,158.9647,length,136.4793,,89,652.1135439586809,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,28,84,True,0,,prefill,ok,,1766544658.6477609,27,19.1388,,736.0797,,0,979.9141999999392,965.089,156.5388,length,19.1388,,27,1410.7467552824628,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,28,85,True,0,,kv_decode,ok,,1766544658.6477609,27,19.1388,,736.0797,,64,979.9141999999392,965.089,156.5388,length,736.0797,,64,86.94710640709151,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,28,86,True,0,,e2e_kv,ok,,1766544658.6477609,27,19.1388,,736.0797,,64,979.9141999999392,965.089,156.5388,length,755.2185,,91,120.4949296130855,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,29,87,False,,0,prefill,ok,,1766544659.627873,27,11.7406,,728.3007,,0,958.0998999999792,939.4203,141.2084,length,11.7406,,27,2299.7121101136227,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,29,88,False,,0,kv_decode,ok,,1766544659.627873,27,11.7406,,728.3007,,64,958.0998999999792,939.4203,141.2084,length,728.3007,,64,87.87579086495454,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,29,89,False,,0,e2e_kv,ok,,1766544659.627873,27,11.7406,,728.3007,,64,958.0998999999792,939.4203,141.2084,length,740.0413,,91,122.9661101346641,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,30,90,False,,1,prefill,ok,,1766544660.5860965,27,12.0106,,734.4438,,0,960.0443000001633,957.5904,159.7519,length,12.0106,,27,2248.0142540755664,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,30,91,False,,1,kv_decode,ok,,1766544660.5860965,27,12.0106,,734.4438,,64,960.0443000001633,957.5904,159.7519,length,734.4438,,64,87.14077237768227,,
7,medium,ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,Explain how backpressure works in an inference service and when to enable queueing.,83,64,30,92,False,,1,e2e_kv,ok,,1766544660.5860965,27,12.0106,,734.4438,,64,960.0443000001633,957.5904,159.7519,length,746.4544,,91,121.90965717396803,,
