backend,backend_kind,model,model_kind,params_millions,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,gpu_peak_mb_median,ollama_load_ms_median
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,prefill,3,43.54384881789435,46.87829999988935,122.82977702791871,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,prefill,3,3.99550194747605,4.547499999944193,1338.6256123884473,,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,e2e_kv,3,630.6507572072435,574.0006999999423,115.28819074126609,539.29345703125,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,e2e_kv,3,205.59093457212734,200.948500000095,353.6468421593996,538.54931640625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,e2e_kv,3,400.58654392706643,477.4003000002267,181.5003171980484,632.16455078125,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,e2e_kv,3,590.980998677254,632.3178000000098,123.02694156117704,631.55810546875,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,e2e_kv,3,215.03909177969823,220.76440000023467,338.10868612911827,632.3837890625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,e2e_kv,3,540.0219842099222,561.6308999999546,134.6363424341062,489.1572265625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,e2e_kv,3,139.45893893033977,136.5083999999115,521.3476120333147,630.53759765625,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,kv_decode,3,616.7827076086091,555.2411999999549,103.76425799637106,539.29345703125,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,kv_decode,3,199.85660690318292,198.3314999999948,320.2295935655693,538.54931640625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,kv_decode,3,392.8074818546835,468.2597000000897,162.92968682219868,632.16455078125,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,kv_decode,3,581.6281314436935,620.3726000001097,110.03594313972029,631.55810546875,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,kv_decode,3,209.63756359356898,217.1672000001763,305.28879892956047,632.3837890625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,kv_decode,3,529.3758859617649,548.0210999999144,120.89708220034501,489.1572265625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,kv_decode,3,137.07062619762903,133.93020000012257,466.9125820416443,630.53759765625,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,prefill,3,13.791194021365962,16.53460000011364,387.8185770538246,539.29345703125,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,prefill,3,3.18025409883823,2.7064000000791566,1681.777957048528,538.54931640625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,prefill,3,7.680952877082678,9.140600000137056,696.3304328031221,632.16455078125,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,prefill,3,8.83146103180066,11.54010000004746,605.6168081340508,631.55810546875,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,prefill,3,4.448689841052025,3.597200000058365,1202.2598635409831,632.3837890625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,prefill,3,9.356165480576525,10.81279999993967,571.6531256680803,489.1572265625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,prefill,3,2.9137925071252,2.543500000001586,1835.5738193987859,630.53759765625,
ollama,ollama,gemma3:270m,ollama,270.0,e2e_kv,3,71.04427626633418,105.1392,697.1268204235124,,158.6201
ollama,ollama,gemma3:1b-it-qat,ollama,1000.0,e2e_kv,3,230.04379981642748,278.4433,306.6374346446759,,158.8267
ollama,ollama,qwen2.5:7b,ollama,7000.0,e2e_kv,3,465.6901603163894,405.9639,167.4012862362789,,129.7535
ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,e2e_kv,3,383.62695463557793,666.6526,137.01947911718932,,168.2181
ollama,ollama,gpt-oss-20b:latest,ollama,20000.0,e2e_kv,3,3181.980762736982,3932.0867,45.32806573350407,,259.0103
ollama,ollama,gemma3:270m,ollama,270.0,kv_decode,3,67.80664661754447,102.896,476.7957387323792,,158.6201
ollama,ollama,gemma3:1b-it-qat,ollama,1000.0,kv_decode,3,225.09316022946396,273.9463,230.27704958959842,,158.8267
ollama,ollama,qwen2.5:7b,ollama,7000.0,kv_decode,3,452.91561493387155,393.9953,88.75606608700251,,129.7535
ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,kv_decode,3,366.2951166192157,654.7349,90.54277783854845,,168.2181
ollama,ollama,gpt-oss-20b:latest,ollama,20000.0,kv_decode,3,3111.4377983812947,3860.2577,16.659111375263844,,259.0103
ollama,ollama,gemma3:270m,ollama,270.0,prefill,3,2.472672248668054,2.3968,6550.831399152391,,158.6201
ollama,ollama,gemma3:1b-it-qat,ollama,1000.0,prefill,3,4.780272258152204,4.5194,3612.103731014455,,158.8267
ollama,ollama,qwen2.5:7b,ollama,7000.0,prefill,3,11.947720733116904,11.9686,3132.8228049350937,,129.7535
ollama,ollama,llama3.1:8b-instruct-q4_0,ollama,8000.0,prefill,3,11.70029387551288,11.8141,1521.6213037571601,,168.2181
ollama,ollama,gpt-oss-20b:latest,ollama,20000.0,prefill,3,68.01846020271486,68.4392,1344.6439633833943,,259.0103
