task_idx,scenario,backend,backend_kind,model,model_kind,params_millions,params_millions_config,prompt,prompt_chars,gen_tokens_target,batch_size_config,call_idx,sample_idx,is_warmup,warmup_idx,rep,mode,status,error,started_at_unix,batch_size,seq_len,prompt_tokens_raw,prefill_ms,prefill_cuda_event_ms,kv_decode_ms,kv_decode_ms_equiv,kv_decode_ms_per_token,kv_decode_cuda_event_ms,gen_tokens_raw,gen_tokens_equiv,ollama_wall_ms,ollama_total_duration_ms,ollama_load_ms,ollama_done_reason,params_millions_measured,latency_ms,cuda_event_ms,tokens_total,tokens_per_s,gen_tokens,gpu_peak_mb,hf_load_ms
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,5,15,False,,0,prefill,ok,,1766553766.6822293,1,9,9,23.181599999588798,,966.7442999998457,,,,64,,,,,,45.1712,23.181599999588798,,9,388.2389481381632,0,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,5,16,False,,0,kv_decode,ok,,1766553766.6822293,1,9,9,23.181599999588798,,966.7442999998457,,,,64,,,,,,45.1712,966.7442999998457,,64,66.20157988002642,64,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,5,17,False,,0,e2e_kv,ok,,1766553766.6822293,1,9,9,23.181599999588798,,966.7442999998457,,,,64,,,,,,45.1712,989.9258999994345,,73,73.74289328124631,64,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,6,18,False,,1,prefill,ok,,1766553767.6728177,1,9,9,21.639200000208803,,1002.135000000635,,,,64,,,,,,45.1712,21.639200000208803,,9,415.91186365083536,0,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,6,19,False,,1,kv_decode,ok,,1766553767.6728177,1,9,9,21.639200000208803,,1002.135000000635,,,,64,,,,,,45.1712,1002.135000000635,,64,63.86365110485059,64,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,6,20,False,,1,e2e_kv,ok,,1766553767.6728177,1,9,9,21.639200000208803,,1002.135000000635,,,,64,,,,,,45.1712,1023.7742000008438,,73,71.30478576227046,64,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,7,21,False,,2,prefill,ok,,1766553768.6970792,1,9,9,14.737599998625228,,867.2005999997054,,,,64,,,,,,45.1712,14.737599998625228,,9,610.6828792231809,0,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,7,22,False,,2,kv_decode,ok,,1766553768.6970792,1,9,9,14.737599998625228,,867.2005999997054,,,,64,,,,,,45.1712,867.2005999997054,,64,73.80068694604425,64,,
1,short,hf_cpu_fp32,hf,models/gpt2-45m,hf,45.171,45.171,Summarize RLHF in one sentence.,31,64,1,7,23,False,,2,e2e_kv,ok,,1766553768.6970792,1,9,9,14.737599998625228,,867.2005999997054,,,,64,,,,,,45.1712,881.9381999983307,,73,82.7722395969901,64,,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,8,24,True,0,,prefill,ok,,1766553769.5795882,1,17,17,836.0825999989174,834.3807983398438,378.834299999653,,,378.7356262207031,64,,,,,,0.102714,836.0825999989174,834.3807983398438,17,20.332919259439212,0,13.068359375,405.0846999998612
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,8,25,True,0,,kv_decode,ok,,1766553769.5795882,1,17,17,836.0825999989174,834.3807983398438,378.834299999653,,,378.7356262207031,64,,,,,,0.102714,378.834299999653,378.7356262207031,64,168.9392961515328,64,13.068359375,405.0846999998612
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,8,26,True,0,,e2e_kv,ok,,1766553769.5795882,1,17,17,836.0825999989174,834.3807983398438,378.834299999653,,,378.7356262207031,64,,,,,,0.102714,1214.9168999985704,1213.1164245605469,81,66.6712266494073,64,13.068359375,405.0846999998612
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,9,27,False,,0,prefill,ok,,1766553771.3723474,1,17,17,4.2697999997471925,4.194015979766846,234.4039999989036,,,234.30860900878906,64,,,,,,0.102714,4.2697999997471925,4.194015979766846,17,3981.4511220681393,0,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,9,28,False,,0,kv_decode,ok,,1766553771.3723474,1,17,17,4.2697999997471925,4.194015979766846,234.4039999989036,,,234.30860900878906,64,,,,,,0.102714,234.4039999989036,234.30860900878906,64,273.03288339917134,64,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,9,29,False,,0,e2e_kv,ok,,1766553771.3723474,1,17,17,4.2697999997471925,4.194015979766846,234.4039999989036,,,234.30860900878906,64,,,,,,0.102714,238.6737999986508,238.5026249885559,81,339.37533152133955,64,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,10,30,False,,1,prefill,ok,,1766553771.6120005,1,17,17,4.299799998989329,4.22105598449707,279.3609000000288,,,279.2899169921875,64,,,,,,0.102714,4.299799998989329,4.22105598449707,17,3953.672264755538,0,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,10,31,False,,1,kv_decode,ok,,1766553771.6120005,1,17,17,4.299799998989329,4.22105598449707,279.3609000000288,,,279.2899169921875,64,,,,,,0.102714,279.3609000000288,279.2899169921875,64,229.09433639422485,64,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,10,32,False,,1,e2e_kv,ok,,1766553771.6120005,1,17,17,4.299799998989329,4.22105598449707,279.3609000000288,,,279.2899169921875,64,,,,,,0.102714,283.6606999990181,283.51097297668457,81,285.5524223139842,64,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,11,33,False,,2,prefill,ok,,1766553771.896762,1,17,17,4.5552000010502525,4.472383975982666,212.35300000080315,,,212.28440856933594,64,,,,,,0.102714,4.5552000010502525,4.472383975982666,17,3731.9985941518394,0,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,11,34,False,,2,kv_decode,ok,,1766553771.896762,1,17,17,4.5552000010502525,4.472383975982666,212.35300000080315,,,212.28440856933594,64,,,,,,0.102714,212.35300000080315,212.28440856933594,64,301.38495806396867,64,13.068359375,
2,medium,hf_gpu_fp16,hf,models/tiny-gpt2,hf,0.103,0.103,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,11,35,False,,2,e2e_kv,ok,,1766553771.896762,1,17,17,4.5552000010502525,4.472383975982666,212.35300000080315,,,212.28440856933594,64,,,,,,0.102714,216.9082000018534,216.7567925453186,81,373.42986571880584,64,13.068359375,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,12,36,True,0,,prefill,ok,,1766553772.1147027,1,1,1,24.626700000226265,24.551807403564453,525.4856999999902,,,525.4461669921875,64,,,,,,96.08832,24.626700000226265,24.551807403564453,1,40.60633377556929,0,208.4775390625,546.4169000006223
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,12,37,True,0,,kv_decode,ok,,1766553772.1147027,1,1,1,24.626700000226265,24.551807403564453,525.4856999999902,,,525.4461669921875,64,,,,,,96.08832,525.4856999999902,525.4461669921875,64,121.79208682558098,64,208.4775390625,546.4169000006223
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,12,38,True,0,,e2e_kv,ok,,1766553772.1147027,1,1,1,24.626700000226265,24.551807403564453,525.4856999999902,,,525.4461669921875,64,,,,,,96.08832,550.1124000002164,549.997974395752,65,118.15767105045155,64,208.4775390625,546.4169000006223
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,13,39,False,,0,prefill,ok,,1766553773.2124093,1,1,1,8.684200000061537,8.610015869140625,522.5546000001486,,,522.51318359375,64,,,,,,96.08832,8.684200000061537,8.610015869140625,1,115.15165472846249,0,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,13,40,False,,0,kv_decode,ok,,1766553773.2124093,1,1,1,8.684200000061537,8.610015869140625,522.5546000001486,,,522.51318359375,64,,,,,,96.08832,522.5546000001486,522.51318359375,64,122.47523990790971,64,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,13,41,False,,0,e2e_kv,ok,,1766553773.2124093,1,1,1,8.684200000061537,8.610015869140625,522.5546000001486,,,522.51318359375,64,,,,,,96.08832,531.2388000002102,531.1231994628906,65,122.35552071869428,64,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,14,42,False,,1,prefill,ok,,1766553773.744463,1,1,1,8.78760000159673,8.732319831848145,511.89330000124755,,,511.8504943847656,64,,,,,,96.08832,8.78760000159673,8.732319831848145,1,113.7967135302355,0,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,14,43,False,,1,kv_decode,ok,,1766553773.744463,1,1,1,8.78760000159673,8.732319831848145,511.89330000124755,,,511.8504943847656,64,,,,,,96.08832,511.89330000124755,511.8504943847656,64,125.02605523425296,64,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,14,44,False,,1,e2e_kv,ok,,1766553773.744463,1,1,1,8.78760000159673,8.732319831848145,511.89330000124755,,,511.8504943847656,64,,,,,,96.08832,520.6809000028443,520.5828142166138,65,124.83653615802871,64,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,15,45,False,,2,prefill,ok,,1766553774.2663174,1,1,1,8.685000000696164,8.625856399536133,515.7779000001028,,,515.7386474609375,64,,,,,,96.08832,8.685000000696164,8.625856399536133,1,115.14104777430546,0,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,15,46,False,,2,kv_decode,ok,,1766553774.2663174,1,1,1,8.685000000696164,8.625856399536133,515.7779000001028,,,515.7386474609375,64,,,,,,96.08832,515.7779000001028,515.7386474609375,64,124.08441695541286,64,208.4775390625,
3,micro,hf_gpu_fp16,hf,models/gpt2-100m,hf,96.088,96.088,Hello,5,64,1,15,47,False,,2,e2e_kv,ok,,1766553774.2663174,1,1,1,8.685000000696164,8.625856399536133,515.7779000001028,,,515.7386474609375,64,,,,,,96.08832,524.462900000799,524.3645038604736,65,123.93631656290842,64,208.4775390625,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,16,48,True,0,,prefill,ok,,1766553774.7917583,1,,30,67.5811,,321.9362,710.4798896551724,11.10124827586207,,29,64,5848.840900000141,5845.9538,5430.0863,stop,7600.0,67.5811,,30,443.91109348619653,0,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,16,49,True,0,,kv_decode,ok,,1766553774.7917583,1,,30,67.5811,,321.9362,710.4798896551724,11.10124827586207,,29,64,5848.840900000141,5845.9538,5430.0863,stop,7600.0,710.4798896551724,,64,90.07995994237368,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,16,50,True,0,,e2e_kv,ok,,1766553774.7917583,1,,30,67.5811,,321.9362,710.4798896551724,11.10124827586207,,29,64,5848.840900000141,5845.9538,5430.0863,stop,7600.0,778.0609896551724,,94,120.81315121795234,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,17,51,False,,0,prefill,ok,,1766553780.6407406,1,,30,11.3945,,319.4912,705.0840275862068,11.016937931034482,,29,64,558.4312000009959,532.1161,176.3442,stop,7600.0,11.3945,,30,2632.849181622713,0,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,17,52,False,,0,kv_decode,ok,,1766553780.6407406,1,,30,11.3945,,319.4912,705.0840275862068,11.016937931034482,,29,64,558.4312000009959,532.1161,176.3442,stop,7600.0,705.0840275862068,,64,90.76932322392605,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,17,53,False,,0,e2e_kv,ok,,1766553780.6407406,1,,30,11.3945,,319.4912,705.0840275862068,11.016937931034482,,29,64,558.4312000009959,532.1161,176.3442,stop,7600.0,716.4785275862068,,94,131.19723254887063,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,18,54,False,,1,prefill,ok,,1766553781.209228,1,,30,12.1587,,317.1217,699.8547862068965,10.935231034482758,,29,64,497.2414000003482,484.6476,126.3874,stop,7600.0,12.1587,,30,2467.369044387969,0,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,18,55,False,,1,kv_decode,ok,,1766553781.209228,1,,30,12.1587,,317.1217,699.8547862068965,10.935231034482758,,29,64,497.2414000003482,484.6476,126.3874,stop,7600.0,699.8547862068965,,64,91.44754206350434,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,18,56,False,,1,e2e_kv,ok,,1766553781.209228,1,,30,12.1587,,317.1217,699.8547862068965,10.935231034482758,,29,64,497.2414000003482,484.6476,126.3874,stop,7600.0,712.0134862068965,,94,132.01997127998996,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,19,57,False,,2,prefill,ok,,1766553781.7066092,1,,30,11.4804,,318.5957,703.107751724138,10.986058620689656,,29,64,509.9878000000899,484.5952,129.975,stop,7600.0,11.4804,,30,2613.149367617853,0,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,19,58,False,,2,kv_decode,ok,,1766553781.7066092,1,,30,11.4804,,318.5957,703.107751724138,10.986058620689656,,29,64,509.9878000000899,484.5952,129.975,stop,7600.0,703.107751724138,,64,91.02445513231973,64,,
4,micro,ollama,ollama,qwen2.5:7b,ollama,7600.0,7600.0,Hello,5,64,1,19,59,False,,2,e2e_kv,ok,,1766553781.7066092,1,,30,11.4804,,318.5957,703.107751724138,10.986058620689656,,29,64,509.9878000000899,484.5952,129.975,stop,7600.0,714.588151724138,,94,131.54430250935377,64,,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,20,60,True,0,,prefill,ok,,1766553782.2167356,1,9,9,24.002799998925184,23.909343719482422,773.3934999996563,,,773.338134765625,64,,,,,,5.03672,24.002799998925184,23.909343719482422,9,374.95625512036133,0,229.62109375,286.20300000147836
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,20,61,True,0,,kv_decode,ok,,1766553782.2167356,1,9,9,24.002799998925184,23.909343719482422,773.3934999996563,,,773.338134765625,64,,,,,,5.03672,773.3934999996563,773.338134765625,64,82.75218242722293,64,229.62109375,286.20300000147836
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,20,62,True,0,,e2e_kv,ok,,1766553782.2167356,1,9,9,24.002799998925184,23.909343719482422,773.3934999996563,,,773.338134765625,64,,,,,,5.03672,797.3962999985815,797.2474784851074,73,91.54795426079838,64,229.62109375,286.20300000147836
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,21,63,False,,0,prefill,ok,,1766553783.3017633,1,9,9,12.849099999584723,12.770560264587402,753.7376999989647,,,753.6803588867188,64,,,,,,5.03672,12.849099999584723,12.770560264587402,9,700.4381630068157,0,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,21,64,False,,0,kv_decode,ok,,1766553783.3017633,1,9,9,12.849099999584723,12.770560264587402,753.7376999989647,,,753.6803588867188,64,,,,,,5.03672,753.7376999989647,753.6803588867188,64,84.91017498539334,64,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,21,65,False,,0,e2e_kv,ok,,1766553783.3017633,1,9,9,12.849099999584723,12.770560264587402,753.7376999989647,,,753.6803588867188,64,,,,,,5.03672,766.5867999985494,766.4509191513062,73,95.22731150619622,64,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,22,66,False,,1,prefill,ok,,1766553784.0692012,1,9,9,11.866000000736676,11.795999526977539,698.8206999994873,,,698.7653198242188,64,,,,,,5.03672,11.866000000736676,11.795999526977539,9,758.4695768954368,0,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,22,67,False,,1,kv_decode,ok,,1766553784.0692012,1,9,9,11.866000000736676,11.795999526977539,698.8206999994873,,,698.7653198242188,64,,,,,,5.03672,698.8206999994873,698.7653198242188,64,91.58286238522551,64,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,22,68,False,,1,e2e_kv,ok,,1766553784.0692012,1,9,9,11.866000000736676,11.795999526977539,698.8206999994873,,,698.7653198242188,64,,,,,,5.03672,710.6867000002239,710.5613193511963,73,102.7175547255591,64,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,23,69,False,,2,prefill,ok,,1766553784.7807918,1,9,9,11.775099999795202,11.70803165435791,736.7591999991419,,,736.7024536132812,64,,,,,,5.03672,11.775099999795202,11.70803165435791,9,764.3247191239592,0,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,23,70,False,,2,kv_decode,ok,,1766553784.7807918,1,9,9,11.775099999795202,11.70803165435791,736.7591999991419,,,736.7024536132812,64,,,,,,5.03672,736.7591999991419,736.7024536132812,64,86.86691662632043,64,229.62109375,
5,short,hf_gpu_fp16,hf,models/gpt2-5m,hf,5.037,5.037,Summarize RLHF in one sentence.,31,64,1,23,71,False,,2,e2e_kv,ok,,1766553784.7807918,1,9,9,11.775099999795202,11.70803165435791,736.7591999991419,,,736.7024536132812,64,,,,,,5.03672,748.5342999989371,748.4104852676392,73,97.52392108164403,64,229.62109375,
6,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,24,72,True,0,,prefill,ok,,1766553785.530225,1,,25,8.3759,,127.5594,127.5594,1.993115625,,64,64,1943.6218999999255,1863.881,1669.7131,length,268.1,8.3759,,25,2984.7538771952863,0,,
6,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,24,73,True,0,,kv_decode,ok,,1766553785.530225,1,,25,8.3759,,127.5594,127.5594,1.993115625,,64,64,1943.6218999999255,1863.881,1669.7131,length,268.1,127.5594,,64,501.7270385404761,64,,
6,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,24,74,True,0,,e2e_kv,ok,,1766553785.530225,1,,25,8.3759,,127.5594,127.5594,1.993115625,,64,64,1943.6218999999255,1863.881,1669.7131,length,268.1,135.93529999999998,,89,654.7232396588672,64,,
6,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,25,75,False,,0,prefill,ok,,1766553787.473991,1,,25,2.26,,120.7069,120.7069,1.8860453125,,64,64,353.7753000000521,320.9448,155.2111,length,268.1,2.26,,25,11061.946902654869,0,,
6,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,25,76,False,,0,kv_decode,ok,,1766553787.473991,1,,25,2.26,,120.7069,120.7069,1.8860453125,,64,64,353.7753000000521,320.9448,155.2111,length,268.1,120.7069,,64,530.2099548575931,64,,
6,medium,ollama,ollama,gemma3:270m,ollama,268.1,268.1,Explain how backpressure works in an inference service and when to enable queueing.,83,64,1,25,77,False,,0,e2e_kv,ok,,1766553787.473991,1,,25,2.26,,120.7069,120.7069,1.8860453125,,64,64,353.7753000000521,320.9448,155.2111,length,268.1,122.96690000000001,,89,723.7720069384525,64,,
